analysis,label,expected_sequences,observed_sequences,observed_both_states,status
topology,dipeptide,38,38,38,OK
topology,tripeptide,1083,1083,1083,OK
topology,tetra_C1_A,361,361,361,OK
topology,tetra_C1_D,361,361,361,OK
topology,tetra_C1_E,361,361,361,OK
topology,tetra_C1_F,361,361,361,OK
topology,tetra_C1_G,361,361,361,OK
topology,tetra_C1_H,361,361,361,OK
topology,tetra_C1_I,361,361,361,OK
topology,tetra_C1_K,361,361,361,OK
topology,tetra_C1_L,361,361,361,OK
topology,tetra_C1_M,361,361,361,OK
topology,tetra_C1_N,361,361,361,OK
topology,tetra_C1_P,361,361,361,OK
topology,tetra_C1_Q,361,361,361,OK
topology,tetra_C1_R,361,361,361,OK
topology,tetra_C1_S,361,361,361,OK
topology,tetra_C1_T,361,361,361,OK
topology,tetra_C1_V,361,361,361,OK
topology,tetra_C1_W,361,361,361,OK
topology,tetra_C1_Y,361,361,361,OK
topology,tetra_C2_A,361,361,361,OK
topology,tetra_C2_D,361,361,361,OK
topology,tetra_C2_E,361,361,361,OK
topology,tetra_C2_F,361,361,361,OK
topology,tetra_C2_G,361,361,361,OK
topology,tetra_C2_H,361,361,361,OK
topology,tetra_C2_I,361,361,361,OK
topology,tetra_C2_K,361,361,361,OK
topology,tetra_C2_L,361,361,361,OK
topology,tetra_C2_M,361,361,361,OK
topology,tetra_C2_N,361,361,361,OK
topology,tetra_C2_P,361,361,361,OK
topology,tetra_C2_Q,361,361,361,OK
topology,tetra_C2_R,361,361,361,OK
topology,tetra_C2_S,361,361,361,OK
topology,tetra_C2_T,361,361,361,OK
topology,tetra_C2_V,361,361,361,OK
topology,tetra_C2_W,361,361,361,OK
topology,tetra_C2_Y,361,361,361,OK
topology,tetra_C3_A,361,361,361,OK
topology,tetra_C3_D,361,361,361,OK
topology,tetra_C3_E,361,361,361,OK
topology,tetra_C3_F,361,361,361,OK
topology,tetra_C3_G,361,361,361,OK
topology,tetra_C3_H,361,361,361,OK
topology,tetra_C3_I,361,361,361,OK
topology,tetra_C3_K,361,361,361,OK
topology,tetra_C3_L,361,361,361,OK
topology,tetra_C3_M,361,361,361,OK
topology,tetra_C3_N,361,361,361,OK
topology,tetra_C3_P,361,361,361,OK
topology,tetra_C3_Q,361,361,361,OK
